time,hr,vo2
"0:11:55,700",140,2.92
"0:11:58,400",140,3.08
"0:12:01,040",140,3.20
"0:12:03,080",141,3.33
"0:12:05,020",142,3.01
"0:12:06,940",143,3.33
"0:12:08,980",144,3.37
"0:12:11,740",145,3.37
"0:12:14,580",146,3.43
"0:12:16,540",147,3.43
"0:12:18,740",147,3.36
"0:12:21,260",147,3.36
"0:12:23,680",148,3.49
"0:12:25,760",148,3.55
"0:12:28,040",149,3.44
"0:12:30,080",149,3.32
"0:12:32,180",149,3.50
"0:12:34,340",150,3.39
"0:12:36,780",151,3.50
"0:12:39,180",151,3.61
"0:12:41,160",151,3.50
"0:12:43,240",151,3.38
"0:12:45,500",151,3.38
"0:12:47,580",151,3.46
"0:12:49,900",151,3.46
"0:12:52,140",150,3.41
"0:12:54,200",150,3.41
"0:12:56,400",150,3.46
"0:12:58,680",150,3.40
"0:13:01,000",150,3.47
"0:13:02,920",149,3.47
"0:13:05,080",149,3.44
"0:13:07,020",149,3.28
"0:13:09,240",149,3.37
"0:13:11,640",149,3.37
"0:13:14,140",150,3.48
"0:13:16,960",151,3.50
"0:13:19,180",151,3.39
"0:13:22,280",152,3.34
"0:13:24,420",152,3.34
"0:13:26,580",152,3.40
"0:13:28,900",152,3.55
"0:13:31,260",152,3.40
"0:13:33,660",152,3.64
"0:13:35,720",152,3.51
"0:13:37,760",152,3.35
"0:13:40,280",152,3.47
"0:13:42,280",152,3.61
"0:13:44,520",152,3.61
"0:13:46,980",152,3.60
"0:13:49,120",152,3.64
"0:13:51,220",152,3.63
"0:13:53,380",152,3.63
"0:13:55,860",153,3.64
"0:13:57,980",153,3.67
"0:13:59,960",153,3.71
"0:14:01,800",153,3.55
"0:14:03,620",153,3.65
"0:14:05,480",154,3.65
"0:14:07,440",155,3.65
"0:14:09,320",155,3.65
"0:14:10,980",156,3.65
"0:14:13,580",157,3.50
"0:14:15,700",157,3.77
"0:14:17,660",158,3.77
"0:14:19,540",158,3.73
"0:14:21,520",158,3.72
"0:14:23,640",158,3.80
"0:14:25,560",158,3.77
"0:14:27,580",158,3.82
"0:14:29,700",158,3.79
"0:14:31,560",158,3.79
"0:14:33,380",158,3.91
"0:14:35,000",158,3.79
"0:14:36,660",158,3.74
"0:14:38,620",158,3.74
"0:14:40,400",158,3.74
"0:14:42,260",158,3.63
"0:14:44,280",158,3.82
"0:14:46,540",158,3.83
"0:14:48,480",158,3.87
"0:14:50,400",159,3.87
"0:14:52,440",160,3.72
"0:14:54,280",160,3.87
"0:14:56,340",160,3.87
"0:14:58,140",161,3.83
"0:15:00,260",161,3.83
"0:15:02,000",161,3.99
"0:15:04,180",162,3.99
"0:15:06,140",162,3.91
"0:15:08,020",162,3.83
"0:15:09,780",162,3.83
"0:15:11,540",162,3.93
"0:15:13,540",163,3.95
"0:15:15,840",163,3.73
"0:15:18,360",163,3.79
"0:15:20,740",163,3.80
"0:15:22,860",163,3.80
"0:15:25,020",163,3.80
"0:15:27,700",163,3.90
"0:15:29,860",163,3.80
"0:15:31,800",163,3.80
"0:15:33,660",163,3.90
"0:15:35,860",163,3.90
"0:15:38,300",163,3.90
"0:15:40,700",163,3.82
"0:15:42,740",164,3.82
"0:15:44,900",164,3.83
"0:15:47,060",165,3.94
"0:15:49,060",165,3.94
"0:15:51,460",166,3.97
"0:15:53,720",166,3.83
"0:15:55,640",166,3.90
"0:15:57,620",166,3.86
"0:15:59,700",166,3.98
"0:16:01,620",166,3.98
"0:16:03,120",166,4.15
"0:16:04,660",166,4.15
"0:16:06,140",166,4.15
"0:16:07,760",166,4.15
"0:16:09,460",167,4.15
"0:16:11,440",167,4.08
"0:16:13,180",167,3.92
"0:16:15,000",168,4.03
"0:16:16,920",168,3.99
"0:16:18,940",169,3.89
"0:16:21,180",169,3.88
"0:16:23,060",169,3.95
"0:16:25,320",169,3.95
"0:16:27,360",169,3.79
"0:16:29,720",168,3.98
"0:16:31,960",167,4.04
"0:16:36,000",165,4.04
"0:16:38,120",165,4.12
"0:16:40,240",164,3.81
"0:16:42,320",164,3.91
"0:16:44,300",164,4.08
"0:16:46,180",164,4.12
"0:16:47,920",164,4.13
"0:16:49,780",164,4.12
"0:16:51,640",165,4.12
"0:16:53,520",166,4.12
"0:16:55,440",166,4.16
"0:16:57,700",167,4.16
"0:16:59,540",168,4.13
"0:17:01,480",168,4.20
"0:17:03,160",169,4.20
"0:17:04,840",169,4.25
"0:17:06,720",170,4.29
"0:17:08,600",170,4.25
"0:17:10,380",170,4.25
"0:17:12,240",170,4.27
"0:17:14,080",170,4.27
"0:17:16,140",170,4.32
"0:17:18,340",170,4.25
"0:17:20,140",170,4.14
"0:17:21,760",169,4.16
"0:17:23,380",169,4.19
"0:17:25,140",168,4.21
"0:17:27,020",168,4.21
"0:17:28,700",168,4.31
"0:17:30,580",168,4.16
"0:17:32,360",168,4.16
"0:17:33,940",168,4.31
"0:17:35,520",169,4.25
"0:17:37,260",169,4.25
"0:17:38,940",169,4.25
"0:17:40,460",169,4.25
"0:17:42,080",169,4.18
"0:17:43,900",169,4.13
"0:17:45,760",170,4.09
"0:17:47,620",170,4.09
"0:17:49,560",170,4.09
"0:17:51,340",170,4.09
"0:17:52,920",171,4.11
"0:17:54,680",171,4.26
"0:17:56,360",171,4.36
"0:17:57,980",171,4.30
"0:17:59,480",171,4.30
"0:18:01,020",171,4.30
"0:18:02,640",171,4.30
"0:18:04,220",171,4.30
"0:18:05,960",172,4.46
"0:18:07,780",172,4.47
"0:18:09,940",173,4.41
"0:18:11,380",173,4.25
"0:18:12,960",174,4.18
"0:18:14,560",174,4.18
"0:18:16,240",174,4.31
"0:18:18,060",175,4.47
"0:18:19,840",175,4.47
"0:18:21,580",175,4.21
"0:18:23,080",176,4.41
"0:18:24,500",176,4.43
"0:18:26,020",176,4.77
"0:18:27,440",176,4.54
