t,test,Phase,Marqueur,BF,V'O2,V'CO2,V'O2/kg,V'O2/FC,FC,TT,V'E/V'O2,V'E/V'CO2,RER,V'E,VT,SpO2,VE'max,VD(est),FECO2,FEO2,P(A-a)O2,P(a-et) CO2(est.),PaCO2(est.),PaO2,PetO2,PetCO2,tE,tI,VD/VT(est),V'E/MVV,VB (est. V'O2max),DE,EE/BSA,EE/CT,EE/kg,EE/kg_Lean
"0:55:12,760",FTP20,Exercice,,49,4.39,4.36,48,26,169,-,36.9,37.1,0.99,170.1,3.46,-,7.9,303,3.3,17.8,-,-5,26,-,119,30,0.6,0.6,0.09,0.97,167.9,1313,617,-,14,14
"0:55:13,980",FTP20,Exercice,,49,4.44,4.48,49,26,170,-,36.7,36.4,1.01,171.3,3.48,-,8.2,271,3.3,17.8,-,-5,26,-,119,31,0.6,0.6,0.08,0.98,167.7,1328,624,-,15,15
"0:55:15,200",FTP20,Exercice,,48,4.36,4.41,48,26,170,-,37.2,36.9,1.01,170.7,3.53,-,8.3,298,3.3,17.8,-,-5,26,-,119,31,0.7,0.6,0.08,0.97,166.6,1306,614,-,14,14
"0:55:16,380",FTP20,Exercice,,48,4.36,4.44,48,26,170,-,37.4,36.7,1.02,171.4,3.54,-,8.3,282,3.3,17.8,-,-5,26,-,119,31,0.7,0.6,0.08,0.98,166.6,1306,614,-,14,14
"0:55:17,540",FTP20,Exercice,,48,4.31,4.29,47,25,170,-,37.2,37.4,0.99,168.5,3.48,-,8.3,314,3.3,17.8,-,-5,26,-,119,30,0.6,0.6,0.09,0.96,165.9,1291,607,-,14,14
"0:55:18,940",FTP20,Exercice,,49,4.39,4.44,48,26,170,-,37.1,36.7,1.01,171.3,3.48,-,8.3,259,3.4,17.8,-,-5,26,-,119,30,0.6,0.6,0.07,0.98,166.9,1313,617,-,14,14
"0:55:20,460",FTP20,Exercice,,49,4.34,4.47,48,26,170,-,37.8,36.7,1.03,172.7,3.51,-,8.3,289,3.4,17.8,-,-5,26,-,119,31,0.6,0.6,0.08,0.99,166.4,1300,611,-,14,14
"0:55:21,900",FTP20,Exercice,,47,4.14,4.26,45,24,169,-,37.8,36.7,1.03,164.6,3.51,-,8.3,312,3.4,17.8,-,-5,26,-,119,31,0.6,0.6,0.09,0.94,164.3,1239,583,-,14,14
"0:55:23,220",FTP20,Exercice,,47,4.23,4.31,46,25,169,-,37.4,36.7,1.02,166.1,3.54,-,8.3,305,3.4,17.8,-,-5,26,-,119,31,0.7,0.6,0.09,0.95,165.6,1265,595,-,14,14
"0:55:24,400",FTP20,Exercice,,45,4.09,4.25,45,24,169,-,37.6,36.3,1.04,161.6,3.56,-,8.3,263,3.4,17.8,-,-5,26,-,119,31,0.7,0.6,0.07,0.92,163.5,1224,575,-,13,13
"0:55:25,580",FTP20,Exercice,,45,4.01,4.13,44,24,169,-,37.8,36.7,1.03,159.6,3.51,-,8.2,296,3.4,17.8,-,-5,26,-,119,31,0.7,0.6,0.08,0.91,162.4,1201,565,-,13,13
"0:55:26,860",FTP20,Exercice,,47,4.11,4.24,45,24,169,-,37.3,36.1,1.03,161.0,3.44,-,8.0,263,3.4,17.8,-,-5,26,-,119,31,0.7,0.6,0.08,0.92,163.8,1229,578,-,13,13
"0:55:28,100",FTP20,Exercice,,48,4.13,4.30,45,24,169,-,37.3,35.8,1.04,162.1,3.41,-,8.0,238,3.4,17.8,-,-5,26,-,119,31,0.7,0.6,0.07,0.93,164.2,1236,581,-,14,14
"0:55:29,440",FTP20,Exercice,,48,4.20,4.37,46,25,169,-,37.6,36.2,1.04,166.2,3.44,-,7.7,260,3.4,17.8,-,-5,26,-,119,31,0.7,0.6,0.08,0.95,165.2,1256,591,-,14,14
"0:55:30,760",FTP20,Exercice,,48,4.19,4.35,46,25,169,-,38.5,37.1,1.04,169.5,3.50,-,7.7,319,3.3,17.8,-,-5,26,-,119,31,0.7,0.6,0.09,0.97,165.1,1254,590,-,14,14
"0:55:32,020",FTP20,Exercice,,48,4.17,4.31,46,25,169,-,38.5,37.3,1.03,168.9,3.49,-,7.7,296,3.3,17.8,-,-5,25,-,119,30,0.7,0.6,0.08,0.96,164.8,1249,587,-,14,14
"0:55:33,240",FTP20,Exercice,,48,4.17,4.31,46,25,169,-,38.5,37.3,1.03,168.9,3.49,-,7.5,289,3.3,17.8,-,-5,25,-,119,30,0.7,0.6,0.08,0.96,164.8,1249,587,-,14,14
"0:55:34,460",FTP20,Exercice,,48,4.11,4.24,45,24,169,-,37.9,36.6,1.03,163.5,3.44,-,7.5,247,3.3,17.8,-,-5,25,-,119,30,0.7,0.6,0.07,0.93,163.8,1229,578,-,13,13
"0:55:35,680",FTP20,Exercice,,48,4.17,4.31,46,25,169,-,37.9,36.6,1.03,166.2,3.44,-,7.5,247,3.4,17.8,-,-5,25,-,119,30,0.7,0.6,0.07,0.95,164.8,1249,587,-,14,14
"0:55:36,920",FTP20,Exercice,,49,4.26,4.42,47,25,169,-,38.4,36.9,1.04,171.7,3.49,-,7.5,264,3.4,17.8,-,-5,25,-,119,30,0.7,0.6,0.08,0.98,166.1,1275,599,-,14,14
"0:55:38,280",FTP20,Exercice,,49,4.26,4.42,47,25,170,-,38.5,37.1,1.04,172.3,3.50,-,8.1,265,3.4,17.8,-,-5,25,-,119,30,0.7,0.6,0.08,0.98,165.1,1275,599,-,14,14
"0:55:40,300",FTP20,Exercice,,49,4.57,4.61,50,27,170,-,36.1,35.7,1.01,173.2,3.52,-,8.3,127,3.4,17.8,-,-5,25,-,119,30,0.7,0.6,0.04,0.99,169.4,1367,643,-,15,15
"0:55:41,500",FTP20,Exercice,,49,4.59,4.70,50,27,170,-,35.9,35.1,1.02,173.2,3.52,-,8.3,85,3.4,17.7,-,-5,25,-,119,30,0.7,0.6,0.02,0.99,169.8,1374,646,-,15,15
"0:55:42,660",FTP20,Exercice,,48,4.77,4.76,52,28,170,-,34.0,34.0,1.00,170.4,3.52,-,8.1,77,3.6,17.4,-,-5,26,-,117,31,0.7,0.6,0.02,0.97,172.1,1429,672,-,16,16
"0:55:43,820",FTP20,Exercice,,49,4.85,4.84,53,29,170,-,34.0,34.0,1.00,173.2,3.52,-,7.8,77,3.6,17.4,-,-5,26,-,117,31,0.7,0.6,0.02,0.99,173.1,1452,683,-,16,16
"0:55:45,040",FTP20,Exercice,,50,4.93,4.92,54,29,170,-,34.1,34.2,1.00,176.7,3.53,-,8.1,85,3.6,17.4,-,-5,26,-,117,31,0.6,0.6,0.02,1.01,174.1,1476,694,-,16,16
"0:55:46,900",FTP20,Exercice,,50,4.67,4.78,51,27,170,-,36.0,35.2,1.02,176.7,3.53,-,8.3,183,3.5,17.6,-,-5,26,-,118,31,0.6,0.6,0.05,1.01,170.8,1398,657,-,15,15
"0:55:48,360",FTP20,Exercice,,49,4.60,4.70,50,27,170,-,36.0,35.2,1.02,173.8,3.53,-,8.3,151,3.4,17.7,-,-5,26,-,119,31,0.6,0.6,0.04,0.99,169.8,1376,647,-,15,15
"0:55:49,560",FTP20,Exercice,,49,4.59,4.68,50,27,170,-,35.9,35.2,1.02,173.2,3.52,-,8.0,157,3.4,17.7,-,-5,26,-,119,31,0.6,0.6,0.04,0.99,169.8,1374,646,-,15,15
"0:55:50,740",FTP20,Exercice,,49,4.59,4.68,50,27,170,-,35.8,35.2,1.02,172.8,3.51,-,7.8,151,3.4,17.7,-,-5,26,-,119,31,0.6,0.6,0.04,0.99,169.8,1374,646,-,15,15
"0:55:51,960",FTP20,Exercice,,50,4.67,4.73,51,27,170,-,35.8,35.3,1.01,175.4,3.51,-,7.7,166,3.4,17.7,-,-5,26,-,119,31,0.6,0.6,0.05,1.00,170.7,1396,657,-,15,15
"0:55:53,180",FTP20,Exercice,,51,4.53,4.70,50,27,170,-,36.8,35.5,1.04,175.3,3.45,-,7.7,137,3.4,17.8,-,-5,25,-,119,30,0.6,0.6,0.04,1.00,169.0,1357,638,-,15,15
"0:55:54,360",FTP20,Exercice,,51,4.35,4.45,48,26,170,-,39.1,38.2,1.02,178.3,3.51,-,7.7,336,3.3,17.8,-,-5,25,-,119,30,0.6,0.6,0.10,1.02,166.4,1300,612,-,14,14
"0:55:55,500",FTP20,Exercice,,51,4.35,4.45,48,26,170,-,39.1,38.2,1.02,178.3,3.51,-,8.0,336,3.3,17.8,-,-5,25,-,119,30,0.6,0.6,0.10,1.02,166.4,1300,612,-,14,14
"0:55:56,680",FTP20,Exercice,,51,4.35,4.45,48,26,170,-,39.1,38.2,1.02,178.3,3.51,-,7.9,336,3.2,17.8,-,-5,25,-,119,30,0.6,0.6,0.10,1.02,166.4,1301,612,-,14,14
"0:55:57,860",FTP20,Exercice,,51,4.35,4.42,48,26,170,-,39.1,38.5,1.02,178.7,3.51,-,7.9,353,3.2,17.8,-,-5,25,-,119,30,0.6,0.6,0.10,1.02,166.4,1301,612,-,14,14
"0:55:59,040",FTP20,Exercice,,51,4.28,4.27,47,25,171,-,39.5,39.6,1.00,177.9,3.50,-,7.9,442,3.2,17.9,-,-5,25,-,119,30,0.6,0.5,0.13,1.02,164.5,1282,603,-,14,14
"0:56:00,400",FTP20,Exercice,,51,4.28,4.27,47,25,171,-,39.5,39.6,1.00,177.9,3.50,-,8.3,434,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.12,1.02,164.5,1282,603,-,14,14
"0:56:01,600",FTP20,Exercice,,51,4.42,4.42,48,26,171,-,38.8,38.9,1.00,180.3,3.55,-,8.4,369,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.10,1.03,166.5,1323,622,-,15,15
"0:56:02,780",FTP20,Exercice,,50,4.35,4.34,48,25,171,-,38.8,38.9,1.00,177.3,3.55,-,8.4,354,3.1,17.9,-,-5,25,-,120,30,0.6,0.6,0.10,1.01,165.4,1302,612,-,14,14
"0:56:03,920",FTP20,Exercice,,50,4.35,4.39,48,25,171,-,38.8,38.4,1.01,177.3,3.55,-,8.4,327,3.1,17.9,-,-5,25,-,120,30,0.6,0.6,0.09,1.01,165.4,1301,612,-,14,14
"0:56:05,120",FTP20,Exercice,,50,4.35,4.39,48,25,172,-,38.3,37.9,1.01,175.0,3.50,-,8.3,292,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.08,1.00,164.5,1301,612,-,14,14
"0:56:06,340",FTP20,Exercice,,50,4.32,4.39,47,25,172,-,38.9,38.3,1.02,176.7,3.53,-,8.5,318,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.09,1.01,164.1,1293,608,-,14,14
"0:56:07,540",FTP20,Exercice,,50,4.31,4.45,47,25,172,-,38.8,37.6,1.03,175.7,3.51,-,8.5,256,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.07,1.00,163.9,1290,607,-,14,14
"0:56:08,800",FTP20,Exercice,,50,4.31,4.45,47,25,172,-,38.8,37.6,1.03,175.7,3.51,-,8.4,256,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.07,1.00,163.9,1290,607,-,14,14
"0:56:09,960",FTP20,Exercice,,50,4.32,4.45,47,25,172,-,38.7,37.6,1.03,175.7,3.51,-,8.3,264,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.08,1.00,164.1,1293,608,-,14,14
"0:56:11,120",FTP20,Exercice,,49,4.24,4.27,46,25,172,-,38.6,38.4,1.01,172.2,3.50,-,8.1,332,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.09,0.98,162.9,1269,597,-,14,14
"0:56:12,320",FTP20,Exercice,,50,4.31,4.34,47,25,172,-,38.4,38.2,1.01,174.1,3.48,-,8.0,327,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.09,0.99,163.9,1290,607,-,14,14
"0:56:13,560",FTP20,Exercice,,50,4.32,4.34,47,25,172,-,38.5,38.4,1.00,175.1,3.50,-,8.0,348,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.10,1.00,164.1,1293,608,-,14,14
"0:56:14,800",FTP20,Exercice,,50,4.34,4.34,48,25,172,-,38.5,38.5,1.00,175.7,3.51,-,8.1,357,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.10,1.00,164.3,1299,611,-,14,14
"0:56:16,160",FTP20,Exercice,,49,4.27,4.29,47,25,172,-,38.7,38.6,1.00,173.8,3.53,-,8.1,357,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.10,0.99,163.4,1279,601,-,14,14
"0:56:17,320",FTP20,Exercice,,49,4.32,4.29,47,25,172,-,38.6,38.9,0.99,175.3,3.56,-,8.1,372,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.10,1.00,164.1,1293,608,-,14,14
"0:56:18,500",FTP20,Exercice,,49,4.34,4.29,48,25,172,-,38.6,39.0,0.99,175.6,3.57,-,8.1,377,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.11,1.00,164.3,1298,610,-,14,14
"0:56:19,720",FTP20,Exercice,,49,4.34,4.36,48,25,172,-,38.6,38.3,1.01,175.7,3.57,-,8.1,310,3.2,17.9,-,-5,25,-,120,30,0.6,0.6,0.09,1.00,164.3,1298,610,-,14,14
"0:56:20,940",FTP20,Exercice,,49,4.34,4.36,48,25,172,-,38.6,38.3,1.01,175.7,3.57,-,8.1,293,3.2,17.8,-,-5,25,-,120,30,0.6,0.6,0.08,1.00,164.3,1298,610,-,14,14
"0:56:22,140",FTP20,Exercice,,49,4.35,4.39,48,25,172,-,38.5,38.1,1.01,175.7,3.57,-,8.1,276,3.2,17.8,-,-5,25,-,120,30,0.6,0.6,0.08,1.00,164.5,1302,612,-,14,14
"0:56:23,400",FTP20,Exercice,,49,4.35,4.39,48,25,172,-,38.5,38.1,1.01,175.7,3.57,-,8.6,252,3.2,17.9,-,-5,24,-,120,29,0.6,0.6,0.07,1.00,164.5,1302,612,-,14,14
"0:56:24,620",FTP20,Exercice,,49,4.35,4.39,48,25,172,-,38.5,38.1,1.01,175.7,3.57,-,8.6,252,3.2,17.8,-,-5,24,-,120,29,0.6,0.6,0.07,1.00,164.5,1302,612,-,14,14
"0:56:25,900",FTP20,Exercice,,49,4.35,4.39,48,25,172,-,38.4,38.1,1.01,175.6,3.57,-,8.6,251,3.3,17.8,-,-5,24,-,120,29,0.6,0.6,0.07,1.00,164.5,1302,612,-,14,14
"0:56:27,200",FTP20,Exercice,,49,4.34,4.36,48,25,172,-,37.3,37.1,1.01,170.5,3.47,-,8.4,198,3.3,17.8,-,-5,25,-,120,29,0.6,0.6,0.06,0.97,164.4,1299,611,-,14,14
"0:56:28,400",FTP20,Exercice,,48,4.20,4.23,46,25,171,-,37.3,37.1,1.01,165.0,3.47,-,8.4,214,3.3,17.8,-,-5,25,-,120,30,0.7,0.6,0.06,0.94,163.3,1257,591,-,14,14
"0:56:29,720",FTP20,Exercice,,49,4.28,4.35,47,25,171,-,37.8,37.2,1.02,170.4,3.47,-,8.4,254,3.3,17.7,-,-5,25,-,120,30,0.6,0.6,0.07,0.97,164.5,1282,603,-,14,14
"0:56:30,860",FTP20,Exercice,,50,4.41,4.42,48,26,171,-,37.3,37.2,1.00,173.2,3.46,-,8.1,269,3.3,17.7,-,-5,25,-,119,30,0.6,0.6,0.08,0.99,166.3,1320,621,-,14,14
"0:56:32,020",FTP20,Exercice,,51,4.58,4.52,50,27,171,-,36.6,37.0,0.99,176.1,3.46,-,8.1,298,3.3,17.7,-,-5,26,-,119,30,0.6,0.6,0.09,1.01,168.6,1370,644,-,15,15
"0:56:33,600",FTP20,Exercice,,51,4.58,4.52,50,27,171,-,36.6,37.0,0.99,176.1,3.46,-,8.1,298,3.3,17.7,-,-5,26,-,119,30,0.6,0.6,0.09,1.01,168.6,1370,644,-,15,15
"0:56:34,780",FTP20,Exercice,,51,4.61,4.53,51,27,171,-,36.3,36.9,0.98,176.1,3.46,-,8.1,290,3.3,17.7,-,-5,26,-,118,30,0.6,0.6,0.08,1.01,169.0,1379,648,-,15,15
"0:56:35,940",FTP20,Exercice,,52,4.69,4.61,51,27,171,-,36.3,36.9,0.98,179.2,3.46,-,8.3,275,3.3,17.7,-,-5,25,-,119,30,0.6,0.5,0.08,1.02,170.0,1403,660,-,15,15
"0:56:37,100",FTP20,Exercice,,52,4.69,4.60,51,27,171,-,36.3,37.0,0.98,179.0,3.46,-,8.3,281,3.3,17.7,-,-5,26,-,119,30,0.6,0.5,0.08,1.02,170.0,1403,660,-,15,15
"0:56:38,360",FTP20,Exercice,,52,4.69,4.60,51,27,171,-,36.1,36.8,0.98,178.0,3.44,-,8.3,266,3.3,17.7,-,-5,26,-,119,30,0.6,0.5,0.08,1.02,170.0,1403,660,-,15,15
"0:56:39,560",FTP20,Exercice,,52,4.48,4.51,49,26,171,-,37.5,37.3,1.01,177.0,3.42,-,8.4,313,3.3,17.7,-,-5,26,-,119,30,0.6,0.5,0.09,1.01,167.3,1342,631,-,15,15
"0:56:40,680",FTP20,Exercice,,52,4.31,4.51,47,25,171,-,39.0,37.3,1.05,177.0,3.42,-,8.7,228,3.2,17.8,-,-5,25,-,119,30,0.6,0.5,0.07,1.01,164.9,1290,607,-,14,14
"0:56:41,720",FTP20,Exercice,,52,4.26,4.34,47,25,171,-,39.0,38.4,1.02,175.2,3.39,-,8.7,295,3.2,17.9,-,-5,25,-,121,29,0.6,0.5,0.09,1.00,164.2,1276,600,-,14,14
"0:56:42,800",FTP20,Exercice,,54,4.36,4.35,48,25,171,-,39.2,39.3,1.00,180.0,3.36,-,8.7,340,3.2,17.9,-,-4,25,-,121,29,0.6,0.5,0.10,1.03,165.5,1303,613,-,14,14
"0:56:43,960",FTP20,Exercice,,55,4.41,4.43,48,26,171,-,39.5,39.3,1.00,183.3,3.36,-,8.7,325,3.1,18.0,-,-4,24,-,121,29,0.6,0.5,0.10,1.05,166.3,1319,620,-,14,14
"0:56:45,120",FTP20,Exercice,,55,4.41,4.43,48,26,171,-,39.5,39.3,1.00,183.3,3.36,-,8.7,325,3.1,18.0,-,-4,24,-,121,29,0.6,0.5,0.10,1.05,166.3,1319,620,-,14,14
"0:56:46,220",FTP20,Exercice,,55,4.43,4.43,49,26,171,-,39.2,39.3,1.00,183.3,3.36,-,8.7,322,3.1,18.0,-,-4,24,-,121,29,0.6,0.5,0.10,1.05,166.6,1327,624,-,15,15
"0:56:47,280",FTP20,Exercice,,54,4.42,4.49,48,26,171,-,37.8,37.1,1.02,175.9,3.28,-,8.7,186,3.2,17.9,-,-4,25,-,121,29,0.6,0.5,0.06,1.00,166.4,1321,621,-,14,14
"0:56:48,360",FTP20,Exercice,,52,4.26,4.43,47,25,171,-,37.8,36.4,1.04,169.8,3.28,-,8.6,154,3.2,17.9,-,-4,25,-,121,29,0.6,0.5,0.05,0.97,164.2,1276,600,-,14,14
"0:56:50,060",FTP20,Exercice,,52,4.57,4.43,50,27,171,-,35.2,36.4,0.97,169.8,3.28,-,8.0,185,3.3,17.8,-,-4,25,-,120,30,0.6,0.6,0.06,0.97,168.5,1364,641,-,15,15
"0:56:51,420",FTP20,Exercice,,50,4.45,4.41,49,26,171,-,36.4,36.8,0.99,170.6,3.41,-,7.7,193,3.3,17.8,-,-5,25,-,120,30,0.6,0.6,0.06,0.97,166.9,1332,626,-,15,15
"0:56:52,540",FTP20,Exercice,,50,4.45,4.41,49,26,170,-,36.8,37.2,0.99,172.4,3.45,-,8.0,220,3.3,17.8,-,-5,25,-,120,30,0.6,0.6,0.06,0.98,167.9,1332,627,-,15,15
"0:56:53,740",FTP20,Exercice,,49,4.38,4.36,48,26,170,-,36.8,37.0,1.00,169.6,3.45,-,7.7,204,3.3,17.8,-,-5,25,-,120,30,0.7,0.6,0.06,0.97,166.8,1310,616,-,14,14
"0:56:54,960",FTP20,Exercice,,49,4.38,4.36,48,26,170,-,37.4,37.6,1.00,172.2,3.50,-,7.7,243,3.3,17.8,-,-5,25,-,120,30,0.7,0.6,0.07,0.98,166.8,1310,616,-,14,14
"0:56:56,180",FTP20,Exercice,,50,4.42,4.41,48,26,170,-,37.1,37.2,1.00,172.4,3.45,-,7.7,220,3.3,17.8,-,-5,25,-,120,30,0.6,0.6,0.06,0.98,167.4,1322,622,-,14,14
"0:56:57,360",FTP20,Exercice,,50,4.42,4.41,48,26,170,-,37.1,37.2,1.00,172.4,3.45,-,7.7,220,3.3,17.8,-,-5,25,-,120,30,0.6,0.6,0.06,0.98,167.4,1322,622,-,14,14
"0:56:58,600",FTP20,Exercice,,50,4.45,4.43,49,26,170,-,37.4,37.6,1.00,175.1,3.50,-,7.7,243,3.3,17.8,-,-5,25,-,120,30,0.6,0.6,0.07,1.00,167.9,1332,626,-,15,15
"0:56:59,800",FTP20,Exercice,,50,4.45,4.43,49,26,170,-,36.8,37.0,1.00,172.4,3.45,-,8.0,204,3.3,17.8,-,-5,25,-,120,30,0.6,0.6,0.06,0.98,167.9,1332,626,-,15,15
"0:57:01,000",FTP20,Exercice,,50,4.45,4.43,49,26,170,-,36.8,37.0,1.00,172.4,3.45,-,8.0,188,3.3,17.8,-,-5,25,-,120,29,0.6,0.6,0.05,0.98,167.9,1332,626,-,15,15
"0:57:03,200",FTP20,Exercice,,51,4.48,4.51,49,26,171,-,37.2,37.0,1.01,175.3,3.45,-,8.3,155,3.3,17.8,-,-5,25,-,120,29,0.6,0.6,0.05,1.00,167.2,1340,630,-,15,15
"0:57:04,340",FTP20,Exercice,,53,4.64,4.70,51,27,171,-,37.9,37.4,1.01,184.5,3.51,-,8.3,176,3.3,17.8,-,-5,24,-,120,29,0.6,0.5,0.05,1.05,169.4,1388,652,-,15,15
"0:57:05,480",FTP20,Exercice,,53,4.56,4.70,50,27,171,-,38.5,37.4,1.03,184.5,3.51,-,8.7,176,3.2,17.8,-,-5,24,-,120,29,0.6,0.5,0.05,1.05,168.4,1366,642,-,15,15
"0:57:06,620",FTP20,Exercice,,53,4.53,4.70,50,26,171,-,38.1,36.8,1.04,181.7,3.45,-,8.7,138,3.2,17.8,-,-5,24,-,120,29,0.6,0.5,0.04,1.04,167.9,1356,638,-,15,15
"0:57:07,720",FTP20,Exercice,,53,4.53,4.70,50,27,171,-,38.7,37.3,1.04,184.5,3.51,-,8.7,81,3.2,18.0,-,-5,24,-,121,28,0.6,0.5,0.02,1.05,168.0,1357,638,-,15,15
"0:57:08,860",FTP20,Exercice,,53,4.41,4.58,48,26,171,-,39.8,38.3,1.04,184.5,3.51,-,8.7,164,3.2,18.0,-,-5,24,-,121,28,0.6,0.5,0.05,1.05,166.3,1321,621,-,14,14
"0:57:09,960",FTP20,Exercice,,53,4.41,4.58,48,26,171,-,39.2,37.7,1.04,181.7,3.45,-,8.7,126,3.2,18.0,-,-5,24,-,121,28,0.6,0.5,0.04,1.04,166.3,1321,621,-,14,14
"0:57:11,120",FTP20,Exercice,,53,4.41,4.52,48,26,171,-,39.2,38.2,1.02,181.7,3.45,-,8.7,166,3.2,18.0,-,-5,24,-,121,28,0.6,0.5,0.05,1.04,166.3,1321,621,-,14,14
"0:57:12,300",FTP20,Exercice,,53,4.41,4.52,48,26,171,-,39.1,38.2,1.02,181.7,3.45,-,8.9,166,3.2,18.0,-,-5,24,-,121,28,0.6,0.5,0.05,1.04,166.3,1321,621,-,14,14
"0:57:13,440",FTP20,Exercice,,53,4.41,4.50,48,26,171,-,38.7,38.0,1.02,179.7,3.42,-,8.7,157,3.2,18.0,-,-5,24,-,121,28,0.6,0.5,0.05,1.03,166.3,1321,621,-,14,14
"0:57:14,660",FTP20,Exercice,,53,4.37,4.49,48,25,172,-,39.0,37.9,1.03,179.4,3.41,-,8.7,171,3.2,18.0,-,-5,24,-,121,29,0.6,0.5,0.05,1.02,164.8,1309,615,-,14,14
"0:57:15,800",FTP20,Exercice,,53,4.37,4.49,48,25,172,-,39.0,37.9,1.03,179.4,3.41,-,8.7,171,3.2,17.9,-,-5,24,-,121,29,0.6,0.5,0.05,1.02,164.8,1309,615,-,14,14
"0:57:16,920",FTP20,Exercice,,53,4.41,4.49,48,26,172,-,38.3,37.6,1.02,177.9,3.38,-,8.7,151,3.2,17.9,-,-4,24,-,121,29,0.6,0.5,0.04,1.02,165.4,1321,621,-,14,14
"0:57:18,020",FTP20,Exercice,,53,4.37,4.44,48,25,172,-,38.3,37.8,1.01,176.6,3.36,-,8.7,216,3.2,17.9,-,-4,25,-,121,29,0.6,0.6,0.06,1.01,164.8,1309,615,-,14,14
"0:57:19,160",FTP20,Exercice,,53,4.33,4.40,47,25,172,-,38.7,38.1,1.02,176.6,3.36,-,8.6,241,3.1,17.9,-,-4,25,-,121,29,0.6,0.6,0.07,1.01,164.2,1295,609,-,14,14
"0:57:20,260",FTP20,Exercice,,53,4.33,4.40,47,25,172,-,39.1,38.5,1.02,178.3,3.39,-,8.6,266,3.1,17.9,-,-5,24,-,121,29,0.6,0.5,0.08,1.02,164.2,1295,609,-,14,14
"0:57:21,480",FTP20,Exercice,,53,4.33,4.40,47,25,172,-,39.1,38.5,1.02,178.3,3.39,-,8.6,273,3.1,17.9,-,-5,25,-,120,29,0.6,0.5,0.08,1.02,164.2,1295,609,-,14,14
"0:57:22,620",FTP20,Exercice,,53,4.29,4.33,47,25,172,-,39.3,38.9,1.01,177.6,3.37,-,8.6,308,3.1,17.9,-,-4,25,-,120,29,0.6,0.5,0.09,1.01,163.7,1285,604,-,14,14
"0:57:23,740",FTP20,Exercice,,52,4.25,4.32,47,25,172,-,39.0,38.3,1.02,174.5,3.37,-,8.3,263,3.2,17.9,-,-4,25,-,120,29,0.6,0.5,0.08,1.00,163.1,1273,599,-,14,14
"0:57:24,940",FTP20,Exercice,,52,4.41,4.40,48,26,172,-,37.6,37.6,1.00,174.5,3.37,-,8.3,218,3.2,17.9,-,-4,25,-,120,29,0.6,0.5,0.06,1.00,165.4,1321,621,-,14,14
"0:57:26,100",FTP20,Exercice,,52,4.41,4.40,48,26,172,-,37.6,37.6,1.00,174.5,3.37,-,8.3,218,3.2,17.9,-,-4,25,-,120,29,0.6,0.5,0.06,1.00,165.4,1321,621,-,14,14
"0:57:27,300",FTP20,Exercice,,53,4.33,4.36,47,25,172,-,39.0,38.7,1.01,177.6,3.37,-,8.6,300,3.2,17.9,-,-4,25,-,120,29,0.6,0.5,0.09,1.01,164.2,1295,609,-,14,14
"0:57:28,600",FTP20,Exercice,,53,4.49,4.48,49,26,172,-,37.7,37.8,1.00,178.3,3.39,-,8.6,229,3.2,17.9,-,-5,25,-,120,29,0.6,0.5,0.07,1.02,166.4,1344,632,-,15,15
"0:57:29,740",FTP20,Exercice,,52,4.41,4.51,48,26,172,-,38.1,37.2,1.02,176.7,3.42,-,8.3,189,3.2,17.9,-,-5,25,-,120,29,0.6,0.5,0.06,1.01,165.4,1321,621,-,14,14
"0:57:30,820",FTP20,Exercice,,52,4.41,4.51,48,26,172,-,37.6,36.7,1.02,174.5,3.37,-,8.6,158,3.2,17.8,-,-5,25,-,120,29,0.6,0.5,0.05,1.00,165.4,1321,621,-,14,14
"0:57:31,820",FTP20,Exercice,,53,4.64,4.60,51,27,172,-,36.2,36.5,0.99,177.0,3.36,-,8.3,208,3.2,17.8,-,-5,25,-,119,30,0.6,0.5,0.06,1.01,168.4,1388,652,-,15,15
"0:57:32,920",FTP20,Exercice,,54,4.78,4.70,52,28,172,-,36.4,37.0,0.98,183.0,3.42,-,8.6,235,3.2,17.8,-,-5,25,-,119,30,0.6,0.5,0.07,1.05,170.2,1431,673,-,16,16
"0:57:34,720",FTP20,Exercice,,54,4.72,4.68,52,27,172,-,37.2,37.5,0.99,184.5,3.45,-,8.6,215,3.2,17.8,-,-5,25,-,120,29,0.6,0.5,0.06,1.05,169.5,1413,664,-,15,15
